"year_day","created_by_id","premise_id","apartment_id","category_id","priority","performer_id","due_date_hours","assigned_hours","completed_hours"
287,82031,40034,1264345,11170,3,8111,72,0,575
287,63551,9766,618126,11172,3,9724,72,0,37
287,57779,9684,617420,17654,1,10100,,1490,2202
287,63551,83998,621481,11169,3,2419,72,0,58
287,57779,9684,617420,17653,1,8111,,0,22
287,56971,9684,617502,17651,1,8111,,0,32
287,63551,9851,622347,11173,3,2419,72,0,38
287,63551,9849,621298,11169,3,2419,72,0,49
287,82031,9907,614657,11170,3,8111,72,0,37
287,63551,9771,617854,11173,3,9724,72,0,51
288,90594,9657,,11161,3,2951,72,1,10
288,22000,9696,620887,11173,1,2607,72,0,418
288,90594,61582,2618048,18944,1,8111,,0,405
288,90248,9320,625756,11173,,2442,,0,16
288,90247,9734,619954,11162,3,2607,72,0,421
288,90856,60704,2594373,17659,1,9754,,18,56
288,90594,9651,622875,18944,1,2419,72,0,48
288,90594,9873,622943,11149,3,9754,72,0,49
288,90594,9306,626627,18944,3,2441,72,1,14
288,90247,61590,2613289,11149,3,9754,72,0,16
288,90594,9322,626437,11173,3,2434,72,0,8
288,90247,9684,617527,11170,3,8111,72,0,50
288,90247,9843,767845,11173,3,9835,72,0,27
288,90248,9283,625043,11173,,2442,,0,18
288,90247,40034,1264190,11173,3,8111,72,0,551
288,90247,9843,767836,11173,3,9835,72,0,27
288,90594,61577,2617903,11172,3,8111,72,0,28
288,90248,9350,627341,11173,,2434,,0,1
288,90247,9907,614660,11172,3,8111,72,0,2
288,90247,9830,615178,11174,3,2461,72,0,6
288,90594,9679,622400,11172,3,2419,72,0,17
288,90594,9649,622759,11161,3,2419,72,0,61
288,90594,9849,621298,11170,3,2419,72,0,52
288,90247,9729,620312,11173,3,2607,72,0,18
288,90248,9334,625735,11173,,2442,,0,19
288,90247,9903,616968,11173,3,8111,72,0,576
288,22000,9829,,11174,1,2461,72,0,7
288,90594,9752,618778,18944,1,9724,,0,423
288,90248,9313,625672,11173,,2442,,0,20
288,90247,9728,,11173,3,2607,72,0,192
288,22000,9671,624216,11190,1,2419,72,0,214
288,90594,9892,702804,11172,3,2419,72,0,216
288,22000,61561,2617713,11173,3,8111,72,1,76
288,90247,40034,1264290,11170,3,8111,72,0,556
288,90247,9907,614551,11170,3,8111,72,0,80
288,90247,9831,615049,16680,1,9754,,404,429
288,90594,9750,619169,17751,3,9724,,0,9
288,90248,9313,625867,11162,,2442,,0,574
288,88342,60704,2594442,11155,,8111,,0,496
288,90248,9324,624724,11173,,2442,,0,22
288,90247,9907,614607,11170,3,8111,72,0,72
288,90248,9324,625323,11173,,2442,,0,22
288,22000,9726,620522,11149,1,9754,72,0,26
288,90594,9645,621927,11173,3,2419,72,0,185
288,90594,9757,618453,11173,3,9724,72,0,8
288,90247,9825,615421,11172,3,8111,72,0,151
288,90248,9241,626703,11173,,2442,,0,47
288,90248,75259,3272675,11173,,2434,,0,6
288,90594,9651,622850,11173,3,2419,72,0,57
288,22000,9762,618264,11174,3,9684,72,4,33
288,90247,9825,615421,11173,3,8111,72,0,512
288,90247,9733,620120,11190,1,2607,72,0,27
288,90594,9893,1633756,11173,3,2419,72,0,55
288,90247,9808,615986,11173,3,8111,72,0,128
288,90594,9645,621947,11170,3,2419,72,0,24
288,90594,9752,618804,11173,3,9724,72,0,10
288,90247,9808,615989,11173,3,8111,72,0,131
288,90248,9322,626844,11173,,2434,,0,1
288,90248,9332,626915,11174,1,2442,,0,21
288,90247,9726,620534,11150,3,9754,72,0,29
288,90594,9646,622320,17751,3,2419,,0,26
288,90248,9334,626934,11190,1,2442,,0,2
288,22000,9907,614665,11190,1,8111,72,1,10
288,90247,9697,620876,11173,3,2607,72,0,28
288,22000,9756,618492,11173,3,9724,72,0,11
288,45590,9682,666302,21535,2,8111,24,0,519
288,90594,9750,619030,11170,3,9724,72,0,7
288,90594,83998,621508,11161,3,2951,72,1,28
288,90594,9883,621508,11161,3,2951,72,1,28
288,90248,9197,626208,11173,,2434,,0,9
288,90248,9298,628885,11173,,2442,,0,23
288,90594,61563,2617748,11173,3,8111,72,0,345
288,22000,9790,617092,11190,1,8111,72,0,11
288,90247,9832,615022,11173,3,8111,72,0,900
288,22000,9756,618531,11173,3,9724,72,0,11
288,90594,9650,622837,11169,3,2419,72,0,75
288,90594,9750,619077,11170,3,9724,72,0,59
288,90248,9298,625237,11173,,2442,,0,25
288,90594,9651,622848,11170,3,2419,72,0,58
288,22000,9866,622507,11172,3,2419,,0,11
288,82112,9682,666386,17652,1,8111,,0,560
288,22000,9697,620876,11173,1,2607,72,0,29
288,90247,9841,614287,18944,1,8111,,0,515
288,90594,9849,621346,11170,3,2419,72,0,59
288,90247,9804,616548,11173,3,8111,72,0,512
288,90594,9657,623502,11173,3,2419,72,0,11
288,90594,9760,618372,11162,3,9724,,0,369
288,90594,61587,2618108,11174,3,9835,72,0,84
288,22000,9866,622437,11173,3,2419,72,0,59
288,90247,9902,616364,11173,3,8111,72,0,85
288,90594,61558,2617652,11173,3,8111,72,0,125
288,89889,9750,619085,11152,,9724,,24,465
288,90247,9727,620471,16493,1,2421,,2184,2376
288,90594,9766,618054,11173,3,9724,72,0,12
288,90594,9894,622289,11173,3,2419,72,0,60
288,90594,61558,2617640,11173,3,8111,72,0,125
288,90248,9298,627699,11173,,2442,,0,27
288,90248,9296,627372,11162,,2434,,0,25
288,90248,9315,626085,11173,,2434,,0,20
288,90594,9753,618656,11173,3,9724,72,0,28
288,90594,9865,685331,11152,3,2419,,0,80
288,90247,9805,616425,11173,3,8111,72,0,85
288,90594,9651,622841,11170,3,2419,72,0,60
288,90594,9653,623252,11162,3,2419,72,0,60
288,90594,9865,685331,11170,3,2419,72,0,13
288,90248,9327,624961,11162,,2442,,0,51
288,90247,9834,614759,11169,3,9835,72,0,28
288,90594,9763,618179,11169,3,9724,72,0,28
288,90248,9310,627479,11174,,2442,,0,71
288,90594,9766,618034,11173,3,9724,72,0,28
288,90248,9344,624718,11173,,2442,,0,26
288,90594,9846,618892,11173,3,9724,72,0,13
288,89889,9754,618612,11150,3,9754,72,0,13
288,90594,9679,622391,11191,3,9811,,601,4431
288,89889,9750,619069,11152,3,9724,72,464,465
288,90594,9849,621298,11169,3,2419,72,0,61
288,90594,9757,618487,11170,3,9724,72,0,14
288,90247,9810,615853,11173,3,8111,72,0,520
288,90248,9331,627301,11173,,2442,,0,5
288,67419,40034,1264260,17651,1,8111,,0,563
288,90594,9756,618488,11173,3,9724,72,0,14
288,90248,9201,628348,18944,,2441,,0,3
288,89889,9762,618243,11170,,9724,,0,62
288,90247,9684,617693,17751,3,8111,,0,498
288,63551,9190,627316,11173,3,2442,72,0,6
288,82031,9742,619302,11172,3,2607,72,0,34
288,90247,9911,615829,11173,3,8111,72,0,1479
288,22000,9784,617282,11162,1,8111,72,0,1477
288,63551,9771,617826,11170,3,9724,72,0,85
288,82031,9790,617083,11173,3,8111,72,0,22
288,90247,9804,616548,11173,3,8111,72,0,511
288,88328,40034,1264237,11170,,8111,,0,504
288,90594,9883,621546,11170,3,2419,72,0,53
288,90594,83998,621546,11170,3,2419,72,0,53
288,90247,9830,615177,11173,3,8111,72,0,516
288,90247,9825,615427,11173,3,8111,72,0,513
288,90594,9654,623443,11173,3,2419,72,0,539
288,90247,40034,1264180,11170,3,8111,72,0,563
288,90247,9807,616124,11152,3,2419,,2853,2876
288,90247,40034,1264175,11170,3,8111,72,0,561
288,90594,61560,2617680,16493,3,9710,,2723,2752
288,90594,9645,621929,11173,3,2419,72,0,184
288,90247,9838,614467,11173,3,8111,72,0,505
288,90594,9872,622911,11162,3,10272,,2663,3538
289,90247,9805,616437,11172,3,8111,72,0,420
289,46935,9261,625738,11173,3,2434,72,0,3
289,51538,9728,620372,11173,3,2607,72,0,177
289,46935,9645,621933,11173,3,2419,72,0,165
289,51538,9777,617342,11173,3,8111,72,0,559
289,79656,9240,628019,11152,3,2441,72,0,6
289,89889,9910,617887,11152,3,9724,72,0,0
289,46935,9757,618487,11173,3,9724,72,0,4
289,46935,9653,623292,11169,3,2419,72,0,607
289,51538,9831,615088,11174,3,2461,72,0,32
289,46935,83998,621546,11190,1,2419,72,0,13
289,51538,9643,615323,11173,3,8111,72,0,494
289,46935,61587,2618103,11173,3,8111,72,0,62
289,88312,60704,2594457,21535,2,8111,,0,486
289,51538,9824,615556,11173,3,8111,72,0,371
289,46935,61559,2617663,11173,3,8111,72,0,62
289,79656,9296,627963,11173,3,2434,72,0,5
289,79656,9240,628019,11173,3,2434,72,0,75
289,46935,83998,,11185,1,2419,24,0,12
289,46935,61587,2618108,11173,3,8111,72,0,61
289,46935,61576,2617885,11173,3,8111,72,0,58
289,46935,9679,,11172,3,2419,72,0,108
289,46935,9883,,11185,1,2419,24,0,12
289,46935,83998,621436,11174,3,2419,72,0,196
289,79656,9256,624878,11174,3,2442,72,0,27
289,89889,9766,618133,11170,,9724,,0,54
289,51538,61557,2613577,11172,3,8111,72,0,63
289,51538,9903,616988,16680,1,9754,72,383,409
289,46935,9856,3345272,11173,3,2419,72,0,83
289,51538,9841,614263,11172,3,8111,72,0,15
289,46935,9856,622171,11149,3,9754,72,0,30
289,51538,9729,,11172,3,2607,72,0,36
289,51538,9843,767820,11161,3,9835,72,0,717
289,90594,9329,625344,11146,1,2442,72,0,2
289,51538,9813,615749,11174,3,2461,72,0,1
289,51538,9737,619654,11149,3,9754,72,0,163
289,90594,9288,627782,18944,1,2442,72,0,4
289,89889,9766,,11173,3,9724,72,0,30
289,51538,9697,620871,11173,3,2607,72,0,6
289,79656,9180,626253,11173,3,2442,72,0,49
